x,y
00:00.0,0.248357077
00:00.0,-0.069132151
00:00.0,0.323844269
00:00.0,0.761514928
00:00.0,-0.117076687
00:00.0,-0.117068478
00:00.0,0.789606408
00:00.0,0.383717365
00:00.0,-0.234737193
00:00.0,0.271280022
00:00.0,-0.231708846
00:00.0,-0.232864877
00:00.0,0.120981136
00:00.0,-0.956640122
00:00.0,-0.862458916
00:00.0,-0.281143765
00:00.0,-0.50641556
00:00.0,0.157123666
00:00.0,-0.454012038
00:00.0,-0.706151851
00:00.0,0.732824384
00:00.0,-0.11288815
00:00.0,0.033764102
00:00.0,-0.712374093
00:00.0,-0.272191362
00:00.0,0.055461295
00:00.0,-0.575496789
00:00.0,0.187849009
00:00.0,-0.300319345
00:00.0,-0.145846875
00:00.0,-0.300853306
00:00.0,0.926139092
00:00.0,-0.006748612
00:00.0,-0.528855464
00:00.0,0.411272456
00:00.0,-0.610421825
00:00.0,0.104431798
00:00.0,-0.979835062
00:00.0,-0.664093024
00:00.0,0.098430618
00:00.0,0.36923329
00:00.0,0.085684141
00:00.0,-0.057824141
00:00.0,-0.150551848
00:00.0,-0.739260995
00:00.0,-0.359922104
00:00.0,-0.230319385
00:00.0,0.528561113
00:00.0,0.171809145
00:00.0,-0.881520078
00:00.0,0.162041985
00:00.1,-0.19254114
00:00.1,-0.338461
00:00.1,0.305838144
00:00.1,0.515499761
00:00.1,0.46564006
00:00.1,-0.419608762
00:00.1,-0.154606188
00:00.1,0.165631716
00:00.1,0.487772564
00:00.1,-0.239587119
00:00.1,-0.092829488
00:00.1,-0.553167487
00:00.1,-0.598103312
00:00.1,0.406262911
00:00.1,0.678120014
00:00.1,-0.036005061
00:00.1,0.501766449
00:00.1,0.180818013
00:00.1,-0.322559877
00:00.1,0.180697803
00:00.1,0.769018283
00:00.1,-0.01791302
00:00.1,0.782321828
00:00.1,-1.309872552
00:00.1,0.410951252
00:00.1,0.043523534
00:00.1,-0.149503675
00:00.1,0.045880388
00:00.1,-0.993784457
00:00.1,-0.109835944
00:00.1,0.178556286
00:00.1,0.738947022
00:00.1,-0.259135109
00:00.1,-0.404246801
00:00.1,-0.250878522
00:00.1,0.457701059
00:00.1,0.164375555
00:00.1,-0.264880102
00:00.1,0.256633717
00:00.1,0.048538775
00:00.1,0.484322495
00:00.1,-0.351026547
00:00.1,-0.163831073
00:00.1,-0.196054077
00:00.1,-0.731757474
00:00.1,0.148060139
00:00.1,0.130527636
00:00.1,0.002556728
00:00.1,-0.117293567
00:00.1,-0.707685371
00:00.1,-0.210322661
00:00.1,-0.171357258
00:00.1,-0.401138635
00:00.1,-0.080642856
00:00.1,0.202025428
00:00.1,0.943092951
00:00.1,0.087288906
00:00.1,0.128775195
00:00.1,-0.037222958
00:00.1,-0.959385608
00:00.1,-0.013256938
00:00.1,0.030115105
00:00.1,1.231621056
00:00.1,-0.096180482
00:00.1,0.150773671
00:00.1,-0.017355885
00:00.1,-0.584339019
00:00.1,0.571411407
00:00.1,0.375966516
00:00.1,0.395515974
00:00.1,-0.454693727
00:00.1,0.701397155
00:00.1,-0.700925531
00:00.1,0.293428547
00:00.1,1.095227813
00:00.1,-0.495268163
00:00.1,-0.283148865
00:00.1,0.049825683
00:00.1,-0.251737827
00:00.1,-0.775331716
00:00.1,0.034281487
00:00.1,-0.531151857
00:00.1,0.236796215
00:00.1,-0.459712117
00:00.1,0.774967203
00:00.1,-0.391626646
00:00.1,-0.161030758
00:00.1,0.406758609
00:00.1,-0.615432158
00:00.1,0.113729967
00:00.1,0.653571377
00:00.1,-0.803741617
00:00.1,0.092316929
00:00.1,0.129941397
00:00.1,0.390911436
00:00.1,-0.618475355
00:00.1,-0.660228307
00:00.1,0.260970783
00:00.1,0.148492337
00:00.1,0.125246425
00:00.2,0.173224105
00:00.2,-0.340012361
00:00.2,0.116126849
00:00.2,0.146536237
00:00.2,-0.357175709
00:00.2,0.932887256
00:00.2,0.23691646
00:00.2,-0.595651749
00:00.2,0.328276804
00:00.2,-0.487340835
00:00.2,0.393542302
00:00.2,0.57929779
00:00.2,-0.410341159
00:00.2,0.481688065
00:00.2,0.206390463
00:00.2,0.41103008
00:00.2,0.948396491
00:00.2,-0.122694058
00:00.2,-0.376868082
00:00.2,-0.444757215
00:00.2,-0.407905142
00:00.2,-0.038550855
00:00.2,0.170575987
00:00.2,0.1383454
00:00.2,0.413591625
00:00.2,0.006500946
00:00.2,0.726767039
00:00.2,-0.132328417
00:00.2,1.360084583
00:00.2,0.312833674
00:00.2,-0.428578778
00:00.2,-0.535446249
00:00.2,0.241236208
00:00.2,-0.111731393
00:00.2,0.357000247
00:00.2,0.236618812
00:00.2,-0.036414456
00:00.2,-0.423396859
00:00.2,-0.757423612
00:00.2,-0.223257476
00:00.2,0.428199397
00:00.2,0.107046872
00:00.2,-0.622869389
00:00.2,0.086590463
00:00.2,0.19265869
00:00.2,-0.441928718
00:00.2,0.076862553
00:00.2,0.029104359
00:00.2,-0.571485149
00:00.2,0.17889368
00:00.2,0.280392263
00:00.2,0.541525622
00:00.2,0.526901026
00:00.2,-0.688834684
00:00.2,-0.46891252
00:00.2,0.257517634
00:00.2,0.256892975
00:00.2,0.257523843
00:00.2,1.926365745
00:00.2,0.285445255
00:00.2,0.56778282
00:00.2,0.477000882
00:00.2,0.325695626
00:00.2,-0.157634622
00:00.2,0.37948461
00:00.2,-0.386412607
00:00.2,-0.118409303
00:00.2,-0.242681774
00:00.2,0.04093707
00:00.2,1.157329283
00:00.2,-0.933632596
00:00.2,0.343130095
00:00.2,-0.806357936
00:00.2,-0.235965933
00:00.2,0.544475298
00:00.2,0.03214001
00:00.2,-0.538872389
00:00.2,-0.357651855
00:00.2,0.339798874
00:00.2,-0.365183316
00:00.2,0.108229295
00:00.2,0.02278592
00:00.2,-0.325800174
00:00.2,1.071972045
00:00.2,0.316959511
00:00.2,-1.012571293
00:00.2,0.093227157
00:00.2,-0.330893232
00:00.2,0.426216667
00:00.2,-0.396260369
00:00.2,-0.057368221
00:00.2,0.252493639
